dados,k,inercia,ARI
blobs,1,1984.5477622389478,0.0
blobs,2,982.9682977627225,0.5802291106965491
blobs,3,206.18236209766604,1.0
blobs,4,180.8610297973208,0.8622538263716186
blobs,5,155.93547471691303,0.7189766334630778
blobs,6,132.33623846624118,0.5724908352033221
blobs,7,118.78599966145944,0.5142942747139521
blobs,8,104.15651153823087,0.46076577402424923
blobs,9,91.28173106567667,0.40043498824861906
blobs,10,82.60892997328742,0.36775007433105056
circulos,1,2152.9366302102744,0.0
circulos,2,1369.92500407814,-0.0016521412808247547
circulos,3,862.1164247149335,-0.0011388108986304785
circulos,4,623.0277591793019,0.0012484493007669894
circulos,5,502.7710315786127,0.005449547256946163
circulos,6,416.81363169340375,0.13002738003835038
circulos,7,351.3815231765349,0.23626653249616464
circulos,8,288.9590846094494,0.23630496558983527
circulos,9,236.46435950731313,0.23400710601206604
circulos,10,193.3668840271642,0.2186350183083412
