y1,y2
-3.167544364929199219e+00,-3.492201566696166992e-01
1.879112005233764648e+00,-6.600716710090637207e-01
3.246895551681518555e+00,-4.943082332611083984e+00
1.117928743362426758e+00,5.529605865478515625e+00
-1.699771523475646973e+00,-2.835155487060546875e+00
-4.691993713378906250e+00,3.958245515823364258e+00
4.024782657623291016e+00,2.242194890975952148e+00
9.460594058036804199e-01,7.748409748077392578e+00
-9.238916039466857910e-01,2.770790815353393555e+00
4.190048217773437500e+00,6.012525081634521484e+00
4.715469852089881897e-02,-2.826803207397460938e+00
1.639272570610046387e+00,-9.126334786415100098e-01
2.477843284606933594e+00,-3.871542453765869141e+00
1.693284749984741211e+00,-1.545181870460510254e+00
2.962012767791748047e+00,8.648125648498535156e+00
4.010679423809051514e-01,-6.154739856719970703e+00
4.351760387420654297e+00,-7.078346729278564453e+00
1.638714551925659180e+00,-3.550508022308349609e+00
-5.326576709747314453e+00,-4.568745613098144531e+00
3.329225301742553711e+00,-5.045818805694580078e+00
3.723883152008056641e+00,7.670743942260742188e+00
-4.936904430389404297e+00,8.326713740825653076e-02
3.579117298126220703e+00,-3.691637039184570312e+00
-4.298127174377441406e+00,1.911253452301025391e+00
-5.278598785400390625e+00,1.910810947418212891e+00
-3.381641864776611328e+00,-7.385559082031250000e+00
2.959798336029052734e+00,3.829350709915161133e+00
-1.855074167251586914e+00,6.065879821777343750e+00
2.016087770462036133e+00,1.082824110984802246e+00
3.997293233871459961e+00,-5.260020732879638672e+00
2.201293468475341797e+00,5.710759758949279785e-01
2.154958248138427734e+00,-2.244810342788696289e+00
7.284777760505676270e-01,-2.667503356933593750e+00
-6.678627014160156250e+00,-6.739422678947448730e-01
-6.707800030708312988e-01,-3.854113340377807617e+00
-3.190885543823242188e+00,-1.314040899276733398e+00
3.152529001235961914e+00,7.564791440963745117e-01
-3.860804080963134766e+00,4.159418106079101562e+00
3.333854436874389648e+00,-6.385469913482666016e+00
3.190531492233276367e+00,5.788796424865722656e+00
8.700550347566604614e-02,-9.096090793609619141e-01
-7.903165183961391449e-03,1.660136580467224121e+00
3.746467828750610352e+00,-7.549575805664062500e+00
-1.763637185096740723e+00,2.016154289245605469e+00
2.391465187072753906e+00,3.650683879852294922e+00
3.915780544281005859e+00,-2.717630565166473389e-01
4.521076679229736328e+00,-2.606169939041137695e+00
-6.048420906066894531e+00,4.200658798217773438e-01
2.067571878433227539e+00,-4.698725700378417969e+00
8.328527212142944336e-01,6.129931926727294922e+00
1.160040855407714844e+00,-4.108228683471679688e+00
3.096467018127441406e+00,-7.236067295074462891e+00
-2.820745706558227539e+00,4.334916114807128906e+00
