y1,y2
1.089231872558593750e+01,-3.756409168243408203e+00
-1.298020076751708984e+01,5.116292953491210938e+00
-3.824753952026367188e+01,-1.226276874542236328e+01
6.660535812377929688e+00,4.294209671020507812e+01
2.302614688873291016e+00,-1.109345436096191406e+01
3.708197784423828125e+01,2.857747840881347656e+01
-1.542316341400146484e+01,3.975535964965820312e+01
5.951705551147460938e+01,-1.497889041900634766e+01
9.803433418273925781e+00,2.161021232604980469e+01
-1.118214511871337891e+01,5.625926589965820312e+01
-1.893354225158691406e+01,-1.398134136199951172e+01
-1.290073394775390625e+01,4.226774215698242188e+00
-2.665208435058593750e+01,-1.157407283782958984e+01
-1.509577083587646484e+01,-2.580085583031177521e-02
1.157875442504882812e+01,-4.625215911865234375e+01
-1.252188777923583984e+01,-5.397961425781250000e+01
-5.160639190673828125e+01,-2.109948539733886719e+01
-2.428801345825195312e+01,-1.217207813262939453e+01
4.283427047729492188e+01,-2.367543792724609375e+01
-3.892265701293945312e+01,-1.237489604949951172e+01
1.428088188171386719e+01,-3.957198715209960938e+01
2.761660194396972656e+01,-2.334150075912475586e+00
-3.202600479125976562e+01,-9.689033508300781250e+00
3.029593849182128906e+01,9.275840759277343750e+00
3.858573532104492188e+01,9.589098930358886719e+00
2.674344253540039062e+01,-4.696341323852539062e+01
-3.973857641220092773e+00,3.915954971313476562e+01
5.672759628295898438e+01,-6.170562744140625000e+00
-1.058322238922119141e+01,1.477663612365722656e+01
-4.489094924926757812e+01,-8.759667396545410156e+00
-1.038217258453369141e+01,1.393537425994873047e+01
-1.846665573120117188e+01,-2.302727222442626953e+00
-2.092636489868164062e+01,-1.269511222839355469e+01
4.134594345092773438e+01,-7.899322509765625000e+00
-1.150908946990966797e+01,-2.029118919372558594e+01
1.152022075653076172e+01,-1.503664112091064453e+01
-2.359676742553710938e+01,2.359094810485839844e+01
3.220602035522460938e+01,3.476582717895507812e+01
-4.867522048950195312e+01,-1.466203117370605469e+01
-5.191349029541015625e+00,5.759490585327148438e+01
-3.668836355209350586e+00,2.336198985576629639e-01
2.469411134719848633e+00,1.528400802612304688e+01
-5.098284912109375000e+01,-2.109122467041015625e+01
1.624343872070312500e+01,1.247453689575195312e+01
-5.596122741699218750e+00,3.727282333374023438e+01
-3.044052505493164062e+01,1.668578720092773438e+01
-3.612977981567382812e+01,-8.674106597900390625e-01
3.275835037231445312e+01,-7.537402153015136719e+00
-1.781703948974609375e+01,-4.222167205810546875e+01
